tll_id,tll_name,tll_brand,tll_category,historical_map_status,historical_shopify_product_id,historical_shopify_variant_id,supplier_sku,supplier_feed_name,supplier_feed_size,supplier_feed_barcode,supplier_feed_tax_flag,historical_retail_gbp,supplier_feed_price_gbp,supplier_nutrition_text_present,review_flags
efb4879f-a240-4cda-9da0-8fbf094c5596,Zinc Picolinate 3-in-1,Nutrition Geeks,vitamin,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
f1131016-24df-4459-afcb-b62c15251763,Micellar Casein,Bulk,casein,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
f2d370c9-333c-4c68-ba67-7cbd0e3d7b74,CreaMAX,Strom Sports Nutrition,creatine,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
f2e0d13e-60c7-4b6a-8aa7-dc3304b7671b,Crack (DMHA),Dark Labs,pre-workout,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
f311ed1d-0f55-44f5-8953-c35d84e6b5ae,Creatine Monohydrate,Bulk,creatine,MAPPED_2026-09-14_UNVERIFIED,16033553711434,63506175099210,BLK012,Bulk Creatine Monohydrate 200g Unflavoured,200g,5055950627857,VAT,24.99,5.00,NO,MISSING_FEED_NUTRITION_TEXT|LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
f3e71a81-361a-4597-96eb-b703ffe2acd7,Elite Casein,Dymatize,casein,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
f42a7d2f-f236-48bc-8dc3-38a2b803dad8,Whey Hey®,Bio-Synergy,whey,MAPPED_2026-09-14_UNVERIFIED,16037754569034,63535203156298,SYN033,Bio-Synergy Whey Hey 908g Coconut,908g,5034839007218,VAT,36.99,23.33,NO,MISSING_FEED_NUTRITION_TEXT|LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
f59389f4-a69e-4aa5-b49a-dbca746335c3,Essential Amino Energy Elite,Optimum Nutrition,eaas,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
f5ea5968-f3f7-4f2a-ab56-048920c62386,Every Day EXTRA,Optibac,gut-digestion,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
f7cc7239-ca28-47e2-93a9-0068c460da2c,Vitality,Conteh Sports,cycle-support,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
f951cf02-9536-4e73-ac62-17bb7a8a33d0,Classic (Choco),Yfood,meal-replacement,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
ff0521c4-d5ac-44d3-9b9e-cdcda133d059,SupportMAX,Strom Sports Nutrition,cycle-support,MAPPED_2026-09-14_UNVERIFIED,16037746114890,63535187755338,STM044,Strom Sports SupportMAX Joint  160 Caps,160 Caps,5060549919404,VAT,34.95,29.16,YES,LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
ffcbc554-e00d-4738-be16-69599490d11f,Vitamin K2 (MK-4),Supplement Needs,vitamin,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
