id,name,brand,category,serving_size,serving_unit,servings_per_container
2b3e6bc9-bac1-4ac5-9e97-dc657c9c86c4,Ashwagandha,SuperDosed,hormone-support,1,capsule,30
2b640b72-29de-4998-9aa7-3adaadeca813,Protein Cookie,Bulk,protein-bar,75,g,12
2c3efc39-8ce7-4905-966c-bdaaa927cd06,Complete Daily Multivitamin,MyProtein,multivitamin,1,tablet,90
2c665fd3-91de-45de-8a0d-96b8a0cd06b7,100% Premium Micellar Casein,USN,casein,30,scoop,30
3099922b-46a2-4767-87ee-3359e47729b5,Micronised Creatine Powder,Optimum Nutrition,creatine,3.4,g,93
31d19045-0da2-4430-83a8-471f1d45507c,Magnesium Bisglycinate,Supplement Needs,vitamin,2,capsule,60
33e5af20-6716-4951-bbb4-944fb9ae3d68,Ghost Amino,Ghost Lifestyle,eaas,10,scoop,40
3457e148-ef53-4197-b48b-33b5d961078b,Meal Replacement Drink (Chocolate),Saturo,meal-replacement,400,bottle,1
36c26496-67e9-40d2-9691-4ec2f1e7d234,Creapure,Bulk,creatine,null,g,null
37f1e686-fc87-4b1e-bf42-6a045d7fdb0f,GEAAR,Mutant,eaas,13.3,scoop,30
3ad6dc9b-9bc4-458c-967f-29a9a7b45964,Whey Better®,Bio-Synergy,whey-isolate,30,scoop,25
3bf42ac2-9c75-4c40-a73c-545120775eb9,Pre-Workout Advanced 500g,Bulk,pre-workout,17,g,29
3c5fcc24-4c21-4b6a-99fd-c71ca3b6680b,Micellar Casein,Mutant,casein,35,scoop,51
3e09c727-46cc-4a89-b554-8cfb4726141e,Protein Powder,Grenade,whey,40,scoop,50
411a19b8-1935-4c63-b957-07296fbdf447,Warrior Protein Night,Warrior,casein,30,scoop,66
41741b45-1afc-41d2-88aa-fe7a38717a32,Vegan Protein Bar,Bulk,protein-bar,60,g,12
4183135d-b8ea-422f-a87f-3160a9351155,JP Intra,TrainedByJP,intra-workout,30,scoop,30
41c29b06-c6e4-45c3-94f2-8a46ea9935d2,Endurance Recovery,Applied Nutrition,post-workout,54,scoop,30
444c84df-121b-4ca2-923b-12abfb876ba7,CNP Isolate,CNP Professional,whey-isolate,30,scoop,60
4471b8ef-e29e-4f6c-9471-b7c01deac5d6,Intra,Efectiv Nutrition,intra-workout,25,scoop,30
451466e0-1474-41ff-a896-8d230adbf3a4,Critical Whey,Applied Nutrition,whey,33,g,66
4771fef4-7278-488c-b897-95fc65862a94,Micellar Casein,Reflex Nutrition,casein,33,scoop,27
47913a31-e77e-4010-8eb9-048e04e97aaa,Hydration+,Supplement Needs,hydration,15,serving,30
47cb0fbb-3a6f-485f-815e-8fd204d5411a,Muscle Fuel Anabolic,USN,post-workout,150,scoop,26
47dc8c3e-814e-47c1-b463-991058f24a5e,Ashwagandha Organic Vegan KSM-66,Supplement Needs,vitamin,1,capsule,60
4b12a70e-fcd6-4031-aed7-d4d3f24d1712,Aftermath,Bulk,post-workout,70,scoop,35
4ea5c8df-7506-42e0-8e77-92775940ae78,Pharma Whey,PhD Nutrition,whey,30,scoop,75
507a6a90-b1e6-4e14-a52a-9694d066ca57,Milk Thistle Extract 5000mg,Bulk,liver-health,1,tablet,90
51015a3b-46ce-4e94-8b92-1e5d75dec507,High Protein Bar,Bulk,protein-bar,55,g,12
51111a7f-f338-4e4d-819e-edce85a3b0a1,Ready-to-drink (Vanilla),Huel,meal-replacement,500,bottle,1
5113a46d-7acf-4dbb-85a2-75747467a922,Recovery Protein,The Protein Works,post-workout,70,scoop,28
5452c5e8-61a9-410a-810f-ef25f8660a41,Gold Standard 100% Casein,Optimum Nutrition,casein,33,scoop,27
5563d361-4c1f-4ec4-a041-dcc847e12f4f,EAA Powder,Warrior,eaas,12,g,30
56128fcc-d33f-4d12-9914-fd3191e6a8ff,"Turmeric, Ginger & Black Pepper",Nutrition Geeks,gut-digestion,2,tablets,60
57c7f80d-45f9-4476-892d-f9be565f31c2,Defib V3,HR Labs,pre-workout,10.5,g,40
57d51861-97dd-4496-b7b9-e55da5c1579b,Alpha Balance,Alpha Club,hormone-support,2,capsules,45
57f5ba6e-6453-4276-a083-3823774ec779,VelosiWHEY Isolate,Strom Sports Nutrition,whey-isolate,30,scoop,33
588ea7df-6140-4f46-9a08-3cdd7ffc1536,Lite Ready-to-drink (Chocolate),Huel,meal-replacement,500,bottle,1
5ab54f66-8e43-4589-bd22-ff6c2023a137,C4 Original,Cellucor,pre-workout,6.5,g,30
5d9cf5d7-728b-4809-814e-ac7e5fbc4aba,Glucosamine & Chondroitin,Bulk,joint-health,3,tablet,90
5e13c87a-1d35-4dd5-a141-43a281bef5e5,Hydration Multiplier,Liquid IV,hydration,16,serving,15
5effd9b6-7fc1-4d33-b314-2c6d29e1a18f,Serious Mass,Optimum Nutrition,post-workout,335,scoop,16
60cbe489-96a8-416e-a11b-243e3277caf3,EssentialMAX,Strom Sports Nutrition,intra-workout,15,scoop,30
6274433d-cb91-4337-8e21-beb3c1ad97d4,JP EAA,TrainedByJP,eaas,10,scoop,30
65b9443c-9a83-4f52-bdff-9480ac12c52c,Crack OG,Dark Labs,pre-workout,null,scoop,40
6626b36e-82c0-47d9-8d5c-a40b47ea41f1,Impact Whey Isolate,MyProtein,whey-isolate,30,scoop,100
6774996b-6f6f-4e67-bd31-b93213cea022,Cycle Support,Combat Fuel,cycle-support,4,capsule,30
6796ca45-f01a-4573-a1cb-4e16e4dc2fa9,ZMA Zinc Magnesium,Bulk,zma,3,capsule,90
68546f63-f123-4e1f-8f46-46802b77de52,Tongkat Ali,SuperDosed,hormone-support,1,capsule,30
69978587-1083-4918-9317-18154e60e7f1,Pure Whey Protein,Bulk,whey,32,g,33
6a8ebcdd-1505-4c9a-9adf-3682359bea61,Amino Fuel EAA,Applied Nutrition,eaas,13,scoop,30
6aa54c84-8f33-4566-aa28-0fdcd5f7c96f,Per4m EAA,Per4m,eaas,13,scoop,30
6ad62332-baa2-4c39-9930-16147ccf593a,Impact Whey Protein,MyProtein,whey,25,scoop,40
6b79b914-ae67-492f-aaef-ee607fde0074,Crispy Layered Bar (White Chocolate Peanut),Myprotein,protein-bar,58,bar,1
6d78db1d-1b56-4e4c-8cd0-c7ecdf696ead,Electrolyte Powder,Bulk,hydration,10,serving,50
6f3b5591-fc9f-45a3-b731-b9f9c2046e1a,Sleep Stack,Supplement Needs,vitamin,2,capsule,60
706e3947-460b-4253-9810-c88919dd5ecd,Vitamin D 4000iu Max Strength,Nutrition Geeks,vitamin,1,tablet,365
7245fcd5-e0f6-40bc-963d-bfa39c136044,Intra Workout,CNP Professional,intra-workout,20,scoop,30
